epsilon_pp,pattern,load_factor,deadline_factor,decoupled_slo,decoupled_throughput,cliffserve_slo,cliffserve_throughput,slo_gain_pp,throughput_gain_pct
0.5,poisson,1.1,12.0,0.05686,184.22591192803495,0.05686,184.22591192803495,0.0,0.0
1.0,onoff,0.3,2.0,0.00198,174.81569991903672,0.00198,174.81569991903672,0.0,0.0
1.0,onoff,0.3,4.0,0.30606,219.9046319209282,0.45655999999999997,269.26130010264404,15.049999999999997,22.44457870240002
1.0,onoff,0.3,8.0,1.0,489.71406126267976,1.0,489.71406126267976,0.0,0.0
1.0,onoff,0.3,12.0,1.0,489.71406126267976,1.0,489.71406126267976,0.0,0.0
1.0,onoff,0.6,2.0,0.0009000000000000001,175.00562123299582,0.0009000000000000001,175.00562123299582,0.0,0.0
1.0,onoff,0.6,4.0,0.00572,175.66994598845633,0.0058000000000000005,175.6845018067625,0.008000000000000021,0.00828588989669754
1.0,onoff,0.6,8.0,0.07592,186.30574253172594,0.07704,186.50118441318185,0.1119999999999996,0.10490384182475498
1.0,onoff,0.6,12.0,0.6112200000000001,462.9746321475544,0.61146,463.71551166954504,0.023999999999990695,0.16002594322586106
1.0,onoff,0.8,2.0,0.0009400000000000001,175.03004658296027,0.0009400000000000001,175.03004658296027,0.0,0.0
1.0,onoff,0.8,4.0,0.00496,175.571937002293,0.00496,175.571937002293,0.0,0.0
1.0,onoff,0.8,8.0,0.0173,177.51771921875115,0.01794,177.6245879695486,0.06400000000000017,0.060201737194343075
1.0,onoff,0.8,12.0,0.04822,182.48766077831493,0.04854,182.54294269182463,0.032000000000000084,0.03029350766727834
1.0,onoff,0.95,2.0,0.00092,175.0326896525909,0.00092,175.0326896525909,0.0,0.0
1.0,onoff,0.95,4.0,0.0048000000000000004,175.58001022178226,0.0048000000000000004,175.58001022178226,0.0,0.0
1.0,onoff,0.95,8.0,0.01772,177.60632916958735,0.0178,177.62153280177805,0.008000000000000021,0.008560298645754472
1.0,onoff,0.95,12.0,0.04028,181.32430310097854,0.040600000000000004,181.3813535791371,0.032000000000000084,0.031463227588868214
1.0,onoff,1.1,2.0,0.00052,174.99378807187216,0.00052,174.99378807187216,0.0,0.0
